ObservableProperty,Procedure Identifier,Result Type,Unit specified with procedure,Collection 1,Notation,Part of soil/fraction
  Moisture content,http://anzsoil.org/def/au/scm/2A1,number,PERCENT,Chemical,0,fine soil fraction (<2mm)
  Moisture content,http://anzsoil.org/def/au/scm/2B1,number,PERCENT,Chemical,0,fine soil fraction (<2mm)
  Moisture content,http://anzsoil.org/def/au/scm/2C1,number,PERCENT,Chemical,0,fine soil fraction (<2mm)
  Moisture content,http://anzsoil.org/def/au/scm/2D1,number,PERCENT,Chemical,0,fine soil fraction (<2mm)
  electrical conductivity,http://anzsoil.org/def/au/scm/3A1,number,DeciS-PER-M,Chemical,EC,fine soil fraction (<2mm)
  estimated soluble salts,http://anzsoil.org/def/au/scm/3B1,number,DeciS-PER-M,Chemical,0,fine soil fraction (<2mm)
  estimated ionic strength,http://anzsoil.org/def/au/scm/3C1,number,MilliMOL,Chemical,0,fine soil fraction (<2mm)
  Redox potential ,http://anzsoil.org/def/au/scm/3D1,number,MilliV,Chemical,Eh,fine soil fraction (<2mm)
  pH,http://anzsoil.org/def/au/scm/4A1,number,UNITLESS,Chemical,0,fine soil fraction (<2mm)
  pH,http://anzsoil.org/def/au/scm/4A2,number,UNITLESS,Chemical,0,fine soil fraction (<2mm)
  pH,http://anzsoil.org/def/au/scm/4A3,number,UNITLESS,Chemical,0,fine soil fraction (<2mm)
  pH,http://anzsoil.org/def/au/scm/4B1,number,UNITLESS,Chemical,0,fine soil fraction (<2mm)
  pH,http://anzsoil.org/def/au/scm/4B2,number,UNITLESS,Chemical,0,fine soil fraction (<2mm)
  pH,http://anzsoil.org/def/au/scm/4B3,number,UNITLESS,Chemical,0,fine soil fraction (<2mm)
  pH,http://anzsoil.org/def/au/scm/4B4,number,UNITLESS,Chemical,0,fine soil fraction (<2mm)
  pH,http://anzsoil.org/def/au/scm/4B5,number,UNITLESS,Chemical,0,fine soil fraction (<2mm)
  pH,http://anzsoil.org/def/au/scm/4C1,number,UNITLESS,Chemical,0,fine soil fraction (<2mm)
  pH,http://anzsoil.org/def/au/scm/4C2,number,UNITLESS,Chemical,0,fine soil fraction (<2mm)
  pH,http://anzsoil.org/def/au/scm/4C3,number,UNITLESS,Chemical,0,fine soil fraction (<2mm)
  pH,http://anzsoil.org/def/au/scm/4C4,number,UNITLESS,Chemical,0,fine soil fraction (<2mm)
  pH,http://anzsoil.org/def/au/scm/4D1,number,UNITLESS,Chemical,0,fine soil fraction (<2mm)
  pH reactivity class,http://anzsoil.org/def/au/scm/4D1,code  https://raw.githack.com/ANZSoilData/def-au-scma/master/html/04-pH/04D1.html,0,Chemical,0,fine soil fraction (<2mm)
  pH,http://anzsoil.org/def/au/scm/4E1,number,UNITLESS,Chemical,0,fine soil fraction (<2mm)
