"PropertyName","PropType","Property","ANSISCode","Procedure_Identifier","Result_Type","Unit","Collection","Notation","Part_of_soil_fraction","LabCode"
"Acid neutralising capacity","Chemical Properties","Acid neutralising capacity","3-33-0","http://anzsoil.org/def/au/scm/20H1","number","PERCENT","Chemical","ANC BT","fine soil fraction (<2mm)","20H1"
"Aluminium saturation","Chemical Properties","Aluminium","3-7-4","http://anzsoil.org/def/au/scm/15O1","number","PERCENT","Chemical","0","fine soil fraction (<2mm)","15O1"
"Anion Exchange Capacity","Chemical Properties","Anions","3-32-0","http://anzsoil.org/def/au/scm/15E1","number","CentiMOL-PER-KiloGM","Chemical","AEC","fine soil fraction (<2mm)","15E1"
"Anion Exchange Capacity","Chemical Properties","Anions","3-32-0","http://anzsoil.org/def/au/scm/15E3","number","CentiMOL-PER-KiloGM","Chemical","AEC","fine soil fraction (<2mm)","15E3"
"Anion Exchange Capacity","Chemical Properties","Anions","3-32-0","http://anzsoil.org/def/au/scm/15E2","number","CentiMOL-PER-KiloGM","Chemical","AEC","fine soil fraction (<2mm)","15E2"
"Anion storage capacity","Chemical Properties","Anions","3-32-1","http://anzsoil.org/def/au/scm/9H1","number","PERCENT","Chemical","0","fine soil fraction (<2mm)","9H1"
"Aspect","Site","Land Surface","0-2-0","http://anzsoil.org/def/au/asls/land-surface/aspect","number",NA,NA,NA,NA,"aspect"
"Biotic","Site","Microrelief","0-5-0","http://anzsoil.org/def/au/asls/land-surface/microrelief","code",NA,NA,NA,NA,"microrelief"
"Bulk density","Physical Properties","Bulk density","4-0-0","http://anzsoil.org/def/au/spm/spmile/503.04","number","MegaGM-PER-M3","Physical","?b","whole soil (including fine earth and coarse fragments)","503.04"
"Bulk density","Physical Properties","Bulk density","4-0-0","http://anzsoil.org/def/au/spm/spmile/503.01","number","MegaGM-PER-M3","Physical","?b","whole soil (including fine earth and coarse fragments)","503.01"
"Bulk density","Physical Properties","Bulk density","4-0-0","http://anzsoil.org/def/au/spm/spmile/503.03","number","MegaGM-PER-M3","Physical","?b","whole soil (including fine earth and coarse fragments)","503.03"
"Bulk density","Physical Properties","Bulk density","4-0-0","http://anzsoil.org/def/au/spm/spmile/503.02","number","MegaGM-PER-M3","Physical","?b","whole soil (including fine earth and coarse fragments)","503.02"
"Bulk Density","Layer/Horizon","Layer/Horizon","2-5",NA,NA,NA,NA,NA,NA,NA
"Bulk density of fine earth","Physical Properties","Bulk density","4-0-1","http://anzsoil.org/def/au/spm/spmile/503.08","number","MegaGM-PER-M3","Physical","?bf","fine soil fraction (<2mm)","503.08"
